,HIP,Parallax,RA,Dec,Vmag,Spectral_Type,Distance
15837,23043,6.91,045722.35,+170913.3,5.51,G,144.7178002894356
15838,23044 H,12.62,045723.45,+005931.0,8.49,G,79.2393026941363
15845,23056,14.29,045740.73,+272233.8,8.94,G,69.97900629811058
15852,23068,6.92,045748.65,+235654.9,5.79,G,144.50867052023122
15853,23069,19.66,045749.46,+140008.0,8.89,G,50.8646998982706
15855,23086,5.07,045807.50,+005157.1,8.26,G,197.2386587771203
15864,23100,21.04,045812.95,+400325.6,7.21,G,47.528517110266165
15872,23123,3.42,045832.90,+014250.5,4.47,G,292.39766081871346
15881,23132,5.41,045839.28,+342332.3,7.97,G,184.84288354898337
15889,23140,51.51,045845.53,+505640.7,10.97,G,19.41370607649
15891,23147,60.48,045850.47,+495058.4,9.8,G,16.534391534391535
15906,23187,5.69,045923.11,+310325.4,7.61,G,175.7469244288225
15917,23198,31.17,045931.93,+484647.5,10.88,G,32.082130253448824
15928,23214,23.09,045944.27,+155500.5,6.75,G,43.308791684712
15937,23228,7.23,045953.74,+271932.4,6.95,G,138.31258644536652
15938,23229 H,8.48,045953.79,+532707.6,7.98,G,117.92452830188678
15944,23240,2.85,050001.80,+435908.2,8.02,G,350.8771929824561
